goods_id,pub_user_id,goods_name,labels
92,80782,秋冬韩版显瘦风衣外套,日韩|小个子穿搭|职场OL
93,80782,慵懒风条纹宽松针织开衫,约会|休闲|日韩
94,80782,高腰不规则百褶半身短裙,开学季|小个子穿搭
95,80782,百搭高腰阔腿牛仔裤配腰带,复古|日韩
96,80782,秋冬丝绒吊带连衣裙,约会|女神必备
97,80782,秋冬两件套针织套装,甜美|女神必备
98,80782,酷女孩皮夹克短款机车服,小个子穿搭
99,80782,系带领长袖衬衫,复古|甜美
100,82631,PUGEE冰岛地衣面膜,干皮|敏感肌|保湿补水|祛痘控油|明星同款
101,82631,PUGEE冰岛地衣面膜,男式|女式|敏感肌|祛痘控油|明星同款
102,82631,MOSTLY TINY酸奶固体饮料,熬夜必备|吃货|美容养颜|网红产品|方便速食
103,82631,MOSTLY TINY酸奶固体饮料,美容养颜|方便速食|吃货|网红产品|进口
104,82631,PUGEE葡糖苷洁面露,国货之光|男式|女式|清洁|祛痘控油
105,82631,ICE GINA酸奶固体饮料,吃货|熬夜必备|美容养颜|方便速食|进口
106,72491,Minenssey 蔓索面膜5款任选,护肤达人|明星同款|网红产品
107,72799,跃燃代餐粉复合蛋白固体饮料（芝士味➕玉米味）,有机绿色|美容养颜|方便速食
108,72456,本色丽人,祛斑|美白
109,72456,本色丽人马油羊奶皂,纯天然|祛痘控油|清洁
110,80782,羊毛呢细千鸟格秋冬半裙,小个子穿搭
111,80782,休闲复古工装风衣外套,休闲|复古
112,80782,高腰简约小直筒牛仔裤,港风
113,80782,秋冬绒面双面毛呢过膝长款外套,女神必备
114,80782,双排扣双面呢绒面短款外套,小个子穿搭
115,80782,秋冬韩版双排扣系带风衣,小个子穿搭|职场OL|女神必备
116,5603,迪克斯Dickies束腿工装裤,穿搭达人|街头|网红产品|运动|嘻哈|男神必备|极简|港风|户外
117,5603,迪克斯Dickies19ss#工装风开衫连帽工装夹克外套,嘻哈|原创|港风|男神必备|潮牌
118,80782,秋冬宽松显瘦菱格温柔针织开衫,甜美|复古
119,80782,搞怪印花吸睛短款卫衣,日韩|休闲|小个子穿搭
120,80782,渐变色网纱百褶半身裙,约会|甜美|小个子穿搭
121,80782,搞怪印花吸睛短款卫衣,休闲|日韩|小个子穿搭
122,81054,春素小皙食品级小苏打牙膏,居家必备
123,81054,春素小皙草本修护专效牙膏,居家必备
124,81054,春素小皙草本亮齿专效牙膏,护理好物
125,80782,高腰直筒垂感宽松牛仔裤,开学季|休闲
126,80782,慵懒风宽松百搭套头针织衫,开学季|休闲
127,82594,"空军低帮系列
耐克 Nike Air Force 1",男式|户外|运动
128,82397,雅诗兰黛特润小棕瓶,大牌|紧致抗衰老|保湿补水|敏感肌
129,82660,姿蒎水润美颜粉底液,学生党|混油|干皮
130,82397,雅斯兰黛抗蓝光眼霜,紧致抗衰老|大牌|保湿补水|敏感肌|明星同款
131,82397,兰蔻小黑瓶面部精华肌底液,大牌|敏感肌|明星同款|紧致抗衰老|保湿补水
132,82660,姿蒎滋润水颜保湿养肤面膜,干皮|混油|保湿补水
133,82397,纪梵希散粉 四宫格,网红产品|大牌|明星同款|美妆达人|混油
134,82397,兰蔻菁纯丝绒雾面哑光唇膏,甜美初恋|李佳琦|约会|明星同款|ins
135,82660,欧束口红,约会|美妆达人|网红产品
136,80782,渐变色网纱仙女百褶裙,约会|女神必备
137,82629,蓬松酥脆外酥里嫩 性价比超高小麻花,吃货|旅行
138,82629,私房酸辣鸡爪 冰镇配雪碧可乐 人间值得！,熬夜必备|无辣不欢|吃货
139,82629,幸运蜜汁鸭舌（原味/辣）,熬夜必备|方便速食|无辣不欢|吃货
140,82629,幸运小花 （椒盐/蜂蜜）蓬松酥脆 外酥里嫩 性价比超高,吃货
141,82629,无添加蔓越莓干 美容养颜 哄娃神器酸甜可口,旅行|美容养颜|营养滋补|熬夜必备|吃货
142,82629,流心绿豆冰糕  冷藏后冰冰凉更好吃,旅行|吃货|户外
143,82629,无添加草莓干,约会|吃货|旅行
144,82629,幸运蜜汁鸭舌（原味/辣）必入！推荐！,吃货|无辣不欢|熬夜必备
145,81054,春素小皙生姜原液洗发水套装,护理好物
146,82397,The body shop生姜洗发水,护理好物|网红产品|李佳琦
147,81054,春素小皙植物营养修护洗发套装,护理好物
148,82397,狮王祛痘膏,平价替代|祛痘控油
149,82397,YSL黑管唇釉#416烂番茄红,美妆达人|网红产品|明星同款|大牌
150,81054,春素小皙氨基酸洗发套装,清洁好物
151,82397,日本ITO洗脸巾纯棉一次性卷装美容院ITO卷筒式洁面巾懒人,网红产品|平价替代|女式|清洁好物|男式
152,81054,春素小皙生姜洗护旅行装,旅行|护理好物|清洁好物
153,81054,春素小皙氨基酸洗发水旅行套装,护理好物|旅行|清洁好物
154,81054,春素植物洗发水旅行装,清洁好物|护理好物|旅行
155,81054,春素悦净百合香氛沐浴精华,平价替代|国货之光|居家必备|清洁好物|护理好物
156,81054,春素悦净茉莉香氛沐浴精华,护理好物|清洁好物|居家必备|平价替代|国货之光
157,81054,小皙浪漫香水身体乳,平价替代|国货之光
158,81054,小皙植物香氛护手霜,邻家女孩|平价替代|国货之光|护肤达人
159,82652,2019最新秋季网红款潮牌高帮真皮休闲鞋  磨砂牛皮材质 超软橡胶底 跟高3厘米  码数标,运动|休闲|户外|潮牌
160,82626,复刻潮流,潮牌
161,81054,小皙凝彩纤长睫毛膏,约会|邻家女孩|平价替代|美妆达人|国货之光
162,81054,小皙轻奢唇情口红,国货之光|七夕/情人节|美妆达人|平价替代
163,81054,小皙自然光感裸透CC霜,七夕/情人节|网红产品|平价替代|国货之光|美妆达人
164,81054,小皙幻彩轻透四色散粉,混油|学生党|约会|国货之光|美妆达人
165,81054,小皙净透润肌卸妆油,平价替代|纯天然|化妆新手|护肤达人|清洁
166,82629,咸蛋黄锅巴（净含量150克装）,吃货
167,72860,英斯力筋膜枪,健美瘦身|ins|呵护女性|网红产品|养生达人
168,82629,幸运蛋黄酥（6枚）,旅行|熬夜必备|方便速食|吃货|户外
169,82629,酱卤金钱肚,无辣不欢|吃货
170,82629,老妈牛肉豆腐干（笋干/香菇）,方便速食|吃货
171,82629,香烤芝麻猪肉铺,熬夜必备|方便速食|吃货
172,82569,一簇麦大麦若叶青汁麦苗粉50包*3g,网红产品|有机绿色|吃货
173,82569,能瘦肚子缓解便秘的大麦青汁,有机绿色|网红产品|美容养颜
174,82569,代餐饼干红豆薏米粗粮饼干,吃货|网红产品|熬夜必备
175,82569,倍食泰莱阳慈梨膏润肺止咳250g/瓶,美容养颜|营养滋补
176,82569,洋葱泡红酒洋葱原浆,美容养颜|品味美酒|营养滋补
177,82569,烘焙干吃水果燕麦片350g/罐,方便速食|网红产品|吃货
178,82629,干菜肉酥饼（一袋20个以上）,方便速食|吃货|户外|旅行
179,82569,包邮烘焙干吃黑糖坚果麦片,吃货|方便速食|网红产品
180,82569,谷物脆烘焙麦片泡酸奶350g,网红产品|开学季|吃货
181,82569,浅笙酸奶酥脆麦片做牛奶杯350g,吃货|旅行|网红产品
182,80782,复古V领宽松显瘦慵懒针织外套,约会|复古
183,72618,Air Force 1 '07 AF1空军一号  海外发售版 四个配色 尺码：36-45,潮牌|网红产品
184,72618,vans,潮牌
185,82644,悦萌动多彩系列纸尿裤拉拉裤,6个月-1岁|1-3岁|1-6个月
186,82626,复刻潮流服饰,休闲
187,82626,复刻潮流服饰,潮牌
188,82626,复刻潮流服饰,开学季|休闲
189,82397,科颜氏牛油果面膜,网红产品|保湿补水|敏感肌|干皮
190,82397,资生堂红腰子精华,保湿补水|紧致抗衰老|明星同款|网红产品|敏感肌
191,82569,烘焙坚果酥脆燕麦片,吃货|方便速食|开学季
192,82569,九蒸九晒黑芝麻丸以黑养黑,网红产品|营养滋补|美容养颜
193,82569,以黑养黑的黑芝麻丸30粒,营养滋补|美容养颜|熬夜必备
194,82569,肉松海苔坚果即食燕麦片,开学季|吃货|方便速食
195,82656,黑魔法洗脸巾,李佳琦|旅行|纯天然 
196,5603,DW手表红色尼龙女,港风|宴会|中国风|轻奢|网红产品
197,72790,魔力🉑🉑液态饮,网红产品|美容养颜|宴会
198,72790,魔力可可液态饮,网红产品|吃货|方便速食
199,82626,复刻潮流服饰,潮牌
200,82626,复刻潮流服饰,穿搭达人
201,82626,复刻潮流服饰,潮牌
202,82626,复刻潮流服饰,潮牌
203,82626,复刻潮流,穿搭达人
204,72456,本色丽人靓肤套盒,祛斑|保湿补水|美白
205,72456,本色丽人,保湿补水|纯天然|敏感肌
206,72456,本色丽人沁颜保湿水乳,保湿补水|纯天然|敏感肌
207,72456,本色丽人金皙炫彩唇膏,美妆达人|平价替代|纯天然
208,80782,『限时』百搭高腰牛仔裤配腰带,女神必备|休闲
209,72456,本色丽人彩妆全系列,邻家女孩|大牌|护肤达人
210,82652,我是卖衣服，鞋子的,女式|休闲|运动|开学季|潮牌
211,82644,好奇纸尿裤拉拉裤,6个月-1岁|1-6个月|1-3岁
212,82629,精品山核桃仁（2019年新货）,有机绿色|方便速食|营养滋补|吃货|熬夜必备
213,82629,🌰无添加板栗肉 🌰这是一款非常优秀的燕山板栗肉,营养滋补|吃货|有机绿色|开学季|方便速食
214,82629,无添加桑葚山楂条,开学季|有机绿色|吃货|营养滋补
215,82629,幸运川味海草（中辣）,吃货|方便速食|无辣不欢
216,82629,芒果干,吃货|方便速食|开学季
217,82629,糯糯山楂树,户外|方便速食|吃货|开学季
218,82629,鱼虾锅巴（净含量205g）独家配方,方便速食|吃货|开学季
219,82629,幸运海苔锅巴（原味/ 酱烤虾味）,方便速食|吃货|开学季
220,82629,零添加肉松（原味/海苔）,吃货|有机绿色|开学季|方便速食
221,82629,鱼豆腐(净含量250克),开学季|吃货|方便速食|户外|旅行
222,82629,鱼骨豆豆（蚕豆，青豆，鱼骨）这是一罐丰富的休闲零食,方便速食|开学季|吃货|无辣不欢|旅行
223,72456,本色丽人黄金人参娇颜修护套盒,紧致抗衰老|敏感肌|保湿补水
224,72456,本色丽人金皙柔皙轻透防护隔离霜,紧致抗衰老|护肤达人|混油
225,82624,【全家益起益生菌】【499元双礼包】 升级款YPEPRO活性益生菌4盒  https://bm.cn/ZENOjw?ac,网红产品
226,82624,【全家益起益生菌】【499元双礼包】 升级款YPEPRO活性益生菌4盒  https://bm.cn/ZENOjw?ac,网红产品
227,72456,本色丽人金皙丽人面膜,保湿补水|护肤达人|大牌
228,72484,玉米豆,开学季|网红产品|户外|旅行|吃货
229,72484,卡乐比燕麦片,吃货|网红产品|营养滋补|开学季|方便速食
230,72484,大闸蟹,有机绿色|营养滋补|宴会|吃货
231,82644,晴雨安睡裤,备孕|辣妈
232,72799,美宝莲巨持色哑光液体唇膏5ml,大牌|宴会|女式
233,72799,LANCÔME 兰蔻 新水份缘保湿舒缓日霜 15毫升/瓶 3瓶,护肤达人|保湿补水|干皮
234,82449,雅赞新生儿双层纱半背衣,备孕|网红产品|1-6个月|辣妈
235,79830,洗脸巾礼包,清洁好物
236,82637,笑脸卫衣,网红产品|国潮|休闲|ins|日韩
237,82637,男士运动套装,休闲|运动
238,82637,双面真德绒男士保暖吊带背心套装,休闲|男神必备|ins
239,82637,情侣保温杯500ml,高品质生活|旅行|开学季|居家必备|网红产品
240,82637,情侣保温杯500ml,高品质生活|旅行|开学季|居家必备|网红产品
241,82637,GUESS情侣款19秋冬最新代购款潮牌卫衣,旅行|网红产品|ins|开学季|运动|户外|休闲|潮牌
242,82637,雪地靴纯羊皮羊毛内里,女式|运动|户外|网红产品|旅行
243,82637,2019秋季新款迪士尼合作款加绒卫衣,潮牌|明星款|ins|网红产品|休闲
244,82637,摇粒绒外套,旅行|运动|潮牌|网红产品|户外|休闲
245,5603,🇷🇺米奇 珊瑚绒连体家居服 199💰  嫩粉色厚款  浅咖色厚款  豹纹色薄款 珊瑚绒面料 细腻触感绒毛密实 保暖,小个子穿搭|中国风|高端|圣诞|休闲
246,82629,爽口黄桃干,水果女王|吃货|开学季
247,82629,小幸运玉米蛋酥    健康美味不发胖的小零食,方便速食|开学季|吃货|户外
248,82629,蜜汁卤牛肉   香辣适中 甜而不腻 回味无穷,开学季|无辣不欢|方便速食|吃货
249,82629,秘制香辣牛百叶,开学季|无辣不欢|吃货|方便速食
250,82629,韩味烤肉丝 口感丰富饱满吃了还想吃,方便速食|开学季|吃货
251,82629,新西兰香辣牛肉干   大块 厚实 撕咬的快感爽爆了！,方便速食|吃货|开学季|无辣不欢
252,81746,AJ,网红产品|明星款|户外
253,5603,zara流浪包,高端|开学季|潮牌|女式|职场OL
254,82731,康巴赫不粘锅第二代蜂巢304不锈钢炒锅蜂窝炒菜锅家用德国正品,高品质生活|居家必备|网红产品
255,82629,大麦若叶青糕   名副其实的营养价值,开学季|吃货|有机绿色|营养滋补
